0.25	1.28763	1.20882
0.75	1.2983	1.22032
1.25	1.31117	1.21542
1.75	1.32417	1.22359
2.25	1.31493	1.21205
2.75	1.27996	1.18134
3.25	1.2253	1.14066
3.75	1.14096	1.09858
4.25	1.05277	1.04628
4.75	0.958463	0.996176
5.25	0.870489	0.930751
5.75	0.790578	0.887152
6.25	0.72097	0.836669
6.75	0.654676	0.794567
7.25	0.607784	0.762416
7.75	0.565473	0.726295
9.	0.50523	0.675733
11.	0.446234	0.609694
13.	0.427073	0.570952
15.	0.416922	0.537818
17.	0.413283	0.532534
19.	0.417424	0.513332
22.5	0.41682	0.498309
27.5	0.439404	0.486991
32.5	0.483405	0.499972
37.5	0.485397	0.501775
45.	0.516561	0.493507
